sitio,parcela,tratamento,tratamcarina,bloco,ponto,ID,RFR_pre,RFR_pos,RFR_1ano
IGR,27,NEW,3,6,19,27_19,0.79,0.79,0.95
IGR,27,NEW,3,6,20,27_20,0.86,0.86,0.98
IGR,27,NEW,3,6,21,27_21,0.88,0.88,0.94
IGR,27,NEW,3,6,22,27_22,0.9,0.9,0.95
IGR,27,NEW,3,6,23,27_23,0.86,0.86,0.91
IGR,27,NEW,3,6,24,27_24,0.7,0.7,0.91
IGR,28,NEC,2,6,1,28_1,0.82,1.06,0.94
IGR,28,NEC,2,6,2,28_2,0.81,1.07,0.91
IGR,28,NEC,2,6,3,28_3,0.85,1.05,0.88
IGR,28,NEC,2,6,4,28_4,0.75,1.06,0.93
IGR,28,NEC,2,6,5,28_5,0.71,1.06,0.87
IGR,28,NEC,2,6,6,28_6,0.78,1.05,0.9
IGR,28,NEC,2,6,7,28_7,0.7,0.98,0.91
IGR,28,NEC,2,6,8,28_8,0.83,1.04,0.91
IGR,28,NEC,2,6,9,28_9,0.78,1.07,0.89
IGR,28,NEC,2,6,10,28_10,0.72,1,0.95
IGR,28,NEC,2,6,11,28_11,0.66,1.09,0.85
IGR,28,NEC,2,6,12,28_12,0.74,1.08,0.95
IGR,28,NEC,2,6,13,28_13,0.83,1.05,0.87
IGR,28,NEC,2,6,14,28_14,0.83,1.05,0.92
IGR,28,NEC,2,6,15,28_15,0.75,1.09,0.94
IGR,28,NEC,2,6,16,28_16,0.44,1.06,0.94
IGR,28,NEC,2,6,17,28_17,0.78,1.11,0.93
IGR,28,NEC,2,6,18,28_18,0.78,1.09,0.92
IGR,28,NEC,2,6,19,28_19,0.78,1.02,0.88
IGR,28,NEC,2,6,20,28_20,0.82,1.06,0.93
IGR,28,NEC,2,6,21,28_21,0.8,1.09,0.95
IGR,28,NEC,2,6,22,28_22,0.79,1.09,0.98
IGR,28,NEC,2,6,23,28_23,0.9,1.11,0.98
IGR,28,NEC,2,6,24,28_24,0.87,1.09,0.96
IGR,30,NNW,1,6,1,30_1,0.77,0.77,0.63
IGR,30,NNW,1,6,2,30_2,0.58,0.58,0.59
IGR,30,NNW,1,6,3,30_3,0.56,0.56,0.66
IGR,30,NNW,1,6,4,30_4,0.42,0.42,0.61
IGR,30,NNW,1,6,5,30_5,0.67,0.67,0.81
IGR,30,NNW,1,6,6,30_6,0.68,0.68,0.77
IGR,30,NNW,1,6,7,30_7,0.52,0.52,0.6
IGR,30,NNW,1,6,8,30_8,0.76,0.76,0.6
IGR,30,NNW,1,6,9,30_9,0.46,0.46,0.53
IGR,30,NNW,1,6,10,30_10,0.64,0.64,0.68
IGR,30,NNW,1,6,11,30_11,0.5,0.5,0.64
IGR,30,NNW,1,6,12,30_12,0.63,0.63,0.73
IGR,30,NNW,1,6,13,30_13,0.66,0.66,0.49
IGR,30,NNW,1,6,14,30_14,0.5,0.5,0.57
IGR,30,NNW,1,6,15,30_15,0.48,0.48,0.64
IGR,30,NNW,1,6,16,30_16,0.66,0.66,0.65
IGR,30,NNW,1,6,17,30_17,0.5,0.5,0.62
IGR,30,NNW,1,6,18,30_18,0.57,0.57,0.53
IGR,30,NNW,1,6,19,30_19,0.46,0.46,0.42
IGR,30,NNW,1,6,20,30_20,0.48,0.48,0.48
